Año,Mes,División,Grupo,Clase,Subclase,Producto,Glosa,Ponderación,Índice,Variación Mensual (%),Variación Acumulada (%),Variación 12 Meses (%),Incidencia Mensual (%),Incidencia Acumulada (%),Incidencia 12 Meses (%),nombre_mes
2024,1,,,,,,IPC General,,101.72,0.7,0.7,3.8,,,,1
2024,1,1.0,,,,,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,22.15348,103.26,1.0,1.0,,0.215,0.215,,1
2024,1,1.0,1.0,,,,ALIMENTOS,19.9127,103.14,0.8,0.8,,0.158,0.158,,1
2024,1,1.0,1.0,1.0,,,"PAN, CEREALES, HARINAS Y PASTAS",4.29417,102.1,1.0,1.0,,0.045,0.045,,1
2024,1,1.0,1.0,1.0,1.0,,ARROZ,0.22304,106.3,-0.1,-0.1,,0.0,0.0,,1
2024,1,1.0,1.0,1.0,1.0,1.0,ARROZ,0.22304,106.3,-0.1,-0.1,,0.0,0.0,,1
2024,1,1.0,1.0,1.0,2.0,,HARINA DE CEREALES,0.13801,106.36,3.3,3.3,,0.005,0.005,,1
2024,1,1.0,1.0,1.0,2.0,1.0,HARINA DE TRIGO,0.10111,105.82,3.9,3.9,,0.004,0.004,,1
2024,1,1.0,1.0,1.0,2.0,2.0,HARINA DE OTROS CEREALES,0.0369,107.82,1.7,1.7,,0.001,0.001,,1
2024,1,1.0,1.0,1.0,3.0,,PAN Y PRODUCTOS DE PANADERÍA,3.36173,101.36,0.8,0.8,,0.026,0.026,,1
2024,1,1.0,1.0,1.0,3.0,1.0,PAN,2.21583,100.34,1.1,1.1,,0.023,0.023,,1
2024,1,1.0,1.0,1.0,3.0,2.0,PRODUCTOS DE REPOSTERÍA,0.62508,102.01,0.3,0.3,,0.002,0.002,,1
2024,1,1.0,1.0,1.0,3.0,3.0,GALLETAS,0.44886,105.21,0.1,0.1,,0.001,0.001,,1
2024,1,1.0,1.0,1.0,3.0,4.0,MASAS SALADAS PREPARADAS,0.07196,102.92,0.5,0.5,,0.0,0.0,,1
2024,1,1.0,1.0,1.0,4.0,,CEREALES PARA EL DESAYUNO,0.1617,102.21,3.5,3.5,,0.006,0.006,,1
2024,1,1.0,1.0,1.0,4.0,1.0,CEREALES PARA EL DESAYUNO,0.1617,102.21,3.5,3.5,,0.006,0.006,,1
2024,1,1.0,1.0,1.0,5.0,,PASTAS,0.25987,105.45,4.0,4.0,,0.01,0.01,,1
2024,1,1.0,1.0,1.0,5.0,1.0,PASTAS,0.25987,105.45,4.0,4.0,,0.01,0.01,,1
2024,1,1.0,1.0,1.0,6.0,,SNACKS,0.14982,102.62,-1.0,-1.0,,-0.002,-0.002,,1
2024,1,1.0,1.0,1.0,6.0,1.0,SNACKS,0.14982,102.62,-1.0,-1.0,,-0.002,-0.002,,1
2024,1,1.0,1.0,2.0,,,CARNES,4.95434,100.89,1.8,1.8,,0.089,0.089,,1
2024,1,1.0,1.0,2.0,1.0,,"CARNE FRESCA, REFRIGERADA O CONGELADA",3.731,101.4,2.2,2.2,,0.081,0.081,,1
2024,1,1.0,1.0,2.0,1.0,1.0,CARNE DE VACUNO,2.13465,98.86,0.3,0.3,,0.006,0.006,,1
2024,1,1.0,1.0,2.0,1.0,2.0,CARNE DE POLLO,1.0303,105.8,7.1,7.1,,0.072,0.072,,1
2024,1,1.0,1.0,2.0,1.0,3.0,CARNE DE CERDO,0.50492,102.05,0.1,0.1,,0.0,0.0,,1
2024,1,1.0,1.0,2.0,1.0,4.0,CARNE DE PAVO,0.06113,110.66,4.3,4.3,,0.003,0.003,,1
2024,1,1.0,1.0,2.0,2.0,,CARNES PROCESADAS,1.22334,99.35,0.7,0.7,,0.008,0.008,,1
2024,1,1.0,1.0,2.0,2.0,1.0,CECINAS,1.07909,99.64,0.7,0.7,,0.007,0.007,,1
