año,mes,nombre_mes,estado,índice,var_mensual,var_acum,var_12
2010,1,Enero,R,79.7262070601556,,,
2010,2,Febrero,R,79.7866044034948,0.075755947217826,,
2010,3,Marzo,R,79.6256232432112,-0.201764646443037,,
2010,4,Abril,R,79.977959796406,0.442491422790581,,
2010,5,Mayo,R,80.0870125627043,0.136353523615718,,
2010,6,Junio,R,80.2238337932752,0.170840722100496,,
2010,7,Julio,R,80.2623714073188,0.0480376120429504,,
2010,8,Agosto,R,80.5322305517157,0.336221244981028,,
2010,9,Septiembre,R,80.802709291288,0.33586396119818,,
2010,10,Octubre,R,80.9609039673217,0.19577892551037,,
2010,11,Noviembre,R,81.0722075590888,0.137478197886742,,
2010,12,Diciembre,R,81.7828150830671,0.876511871790786,,
2011,1,Enero,R,82.02116607837,0.291443862699969,0.291443862699969,2.87855035732827
2011,2,Febrero,R,82.2270486939388,0.251011568614024,0.543186989125388,3.05871431512763
2011,3,Marzo,R,81.8894903416066,-0.410519844374646,0.130437254368321,2.84313893717416
2011,4,Abril,R,82.0857109806264,0.239616388136343,0.37036619154236,2.63541504382701
2011,5,Mayo,R,81.6623772580575,-0.515721576278738,-0.147265443097411,1.96706637561201
2011,6,Junio,R,82.0288230225462,0.448732668326279,0.300806397076547,2.24994137518066
2011,7,Julio,R,82.6165578984683,0.716497999441668,1.01945966833543,2.93311354981332
2011,8,Agosto,R,82.7856094751034,0.204621907442326,1.22616761359673,2.79810817103912
2011,9,Septiembre,R,82.9263989550219,0.170065160854893,1.39831805837602,2.62824066465168
2011,10,Octubre,R,82.6724240283914,-0.306265471346812,1.0877700216368,2.11400809180744
2011,11,Noviembre,R,82.7698929390726,0.117897729293293,1.20695020708554,2.09404114072804
2011,12,Diciembre,R,83.266391561335,0.599854131293776,1.81404427905918,1.81404427905918
2012,1,Enero,R,83.9245258125126,0.790396027541029,0.790396027541029,2.3205714148516
2012,2,Febrero,R,83.7271416218142,-0.235192500389425,0.553344574971448,1.82433025592217
2012,3,Marzo,R,84.104516312101,0.450719662676913,1.00655827045011,2.70489651511365
2012,4,Abril,R,84.1193404166995,0.0176258127964068,1.02436149732295,2.47744633235021
2012,5,Mayo,R,84.2936895819963,0.207264066067547,1.23374869668107,3.22218433051953
2012,6,Junio,R,84.7273642224638,0.514480553192076,1.75457664699283,3.28974755516835
2012,7,Julio,R,85.7002013787586,1.14819712051994,2.92291976605086,3.73247634460869
2012,8,Agosto,R,85.9652647247086,0.309291392185407,3.24125149747314,3.84083087600089
2012,9,Septiembre,R,85.6447660987726,-0.372823403687961,2.85634394963021,3.27804797749041
2012,10,Octubre,R,85.3801256829998,-0.308997768138719,2.53852014243676,3.27521744575743
2012,11,Noviembre,R,86.2954712873047,1.07208275577322,3.63781793490889,4.25949366737417
2012,12,Diciembre,R,87.2186523679795,1.06979087882979,4.74652585819477,4.74652585819477
2013,1,Enero,R,87.5429068650423,0.371771964206458,0.371771964206458,4.31147035684567
2013,2,Febrero,R,87.4947471751321,-0.0550126693695918,0.316554773155397,4.49986167010912
2013,3,Marzo,R,87.7230036666128,0.260880222927895,0.578260824881172,4.30236985262964
2013,4,Abril,R,88.4353119086315,0.811997095682915,1.39495338166762,5.13077191351257
2013,5,Mayo,R,88.5191086275779,0.0947548181125857,1.49102998531974,5.01273472134738
2013,6,Junio,R,87.9310064683493,-0.664378763350226,0.816745135391872,3.78111873924685
2013,7,Julio,R,88.1836251722502,0.287291950868096,1.10638352929304,2.89780391823808
2013,8,Agosto,R,88.9160681408137,0.830588408145849,1.94616143078286,3.43255316615911
2013,9,Septiembre,R,88.892635185136,-0.0263540169596066,1.9192945221097,3.79225635646867
2013,10,Octubre,R,88.7668256222226,-0.141529793386674,1.77504835515141,3.96661390707826
2013,11,Noviembre,R,88.8197347784835,0.0596046506000869,1.83571101712157,2.9251401649742
2013,12,Diciembre,R,89.3347297238484,0.579820404383447,2.4261752485478,2.4261752485478
2014,1,Enero,R,89.9363673091405,0.673464381827626,0.673464381827626,2.73404268810484
2014,2,Febrero,R,89.7121852179465,-0.249267451979041,0.422518202344002,2.53436704991652
2014,3,Marzo,R,89.6872500217906,-0.0277946592151634,0.394606105634376,2.23914625933563
2014,4,Abril,R,89.510786609933,-0.196754178341729,0.197075523291823,1.21611455660673
2014,5,Mayo,R,89.4382523995974,-0.0810340441445123,0.115881780880778,1.03835633488651
2014,6,Junio,R,89.4787600017596,0.0452911378245657,0.161225402882414,1.76019085368635
2014,7,Julio,R,90.3378775167709,0.960135695884068,1.12290908141039,2.44291651688484
2014,8,Agosto,R,90.2859290385326,-0.0575046477361618,1.06475870876257,1.54062243907305
2014,9,Septiembre,R,90.0664177161456,-0.243129050921365,0.819040920097991,1.32044969593372
2014,10,Octubre,R,89.4179706614283,-0.719965411260126,0.0931786975091109,0.733545482382048
2014,11,Noviembre,R,89.9045796013442,0.544195910862655,0.637881683033403,1.2214006555709
2014,12,Diciembre,R,91.4897677509873,1.76318954681975,2.41231829300947,2.41231829300947
2015,1,Enero,R,92.1783333177116,0.752614837320786,0.752614837320786,2.49283585233633
2015,2,Febrero,R,91.9980364825173,-0.195595677102167,0.555547078131591,2.54798304045056
2015,3,Marzo,R,92.1573215441626,0.173139631817643,0.729648582114883,2.75409439108887
2015,4,Abril,R,91.4453216090613,-0.772591827942926,-0.0485804511461629,2.16123114587141
2015,5,Mayo,R,91.3537758305375,-0.100109854624619,-0.148641671951766,2.14172725824495
2015,6,Junio,R,91.1092892948224,-0.267626087145623,-0.415869955206882,1.82225289334677
2015,7,Julio,R,91.6684200105027,0.613692324907733,0.195270207704157,1.47285117860427
2015,8,Agosto,R,91.0085265549429,-0.719870000469347,-0.526005484410308,0.800343446764495
2015,9,Septiembre,R,91.1570104600743,0.16315383926333,-0.363709843289528,1.21087611962736
2015,10,Octubre,R,90.8885922544608,-0.294457008033444,-0.657095882200498,1.64465999636787
2015,11,Noviembre,R,91.2961841767936,0.44845223390817,-0.211590409454976,1.54786839738319
2015,12,Diciembre,R,92.205103754492,0.995572362518748,0.781875417425493,0.781875417425493
2016,1,Enero,R,93.0842206060314,0.953436215288228,0.953436215288228,0.982755117948897
2016,2,Febrero,R,92.6103390694667,-0.509089009371799,0.43949336693303,0.665560494941353
2016,3,Marzo,R,92.9927788680648,0.412955834565354,0.85426411499967,0.906555561623867
2016,4,Abril,R,92.4246737338006,-0.610913171086325,0.238132131918944,1.07097017923576
2016,5,Mayo,R,92.2657618061114,-0.171936693168007,0.0657860022379442,0.9983013480096
2016,6,Junio,R,92.2136613819079,-0.0564677765442223,0.0092810778009822,1.21213994273606
2016,7,Julio,R,92.4269766885878,0.231327227965061,0.240629775426049,0.827500548169291
2016,8,Agosto,R,92.8859609548025,0.496591236302324,0.738415958105088,2.06292143267057
2016,9,Septiembre,R,92.8822917253429,-0.00395025192383436,0.734436536890648,1.89264792313948
2016,10,Octubre,R,92.9126868518116,0.0327243502545649,0.767401226729958,2.22700621402951
2016,11,Noviembre,R,93.0605809691154,0.159175374553167,0.927798115060097,1.93260737919234
2016,12,Diciembre,R,94.015589078499,1.02622195073183,1.96354133370715,1.96354133370715
2017,1,Enero,R,94.5223881601914,0.539058561095906,0.539058561095906,1.54501756022312
2017,2,Febrero,R,93.9493294699249,-0.60626768051536,-0.0704772572544199,1.44583252141406
2017,3,Marzo,R,94.3650582627843,0.442503203806832,0.371714082431107,1.47568382343588
2017,4,Abril,R,93.8871354041036,-0.506461679226511,-0.13663018617921,1.58232819356776
